"","k.conf","p.conf","c.conf","o.conf","f.conf","g.conf","s.conf"
"ASV120",97.6153660184508,97.6153660184508,77.4515611737475,77.4515611737475,77.4515611737475,77.4515611737475,NA
"ASV121",100,100,100,100,100,100,97.9730255329763
"ASV122",100,100,100,100,100,100,NA
"ASV123",92.8500701194759,92.8500701194759,92.0390026532354,92.0390026532354,87.7134359891726,77.6204065999918,72.6357227188845
"ASV124",30.1173093115293,NA,NA,NA,NA,NA,NA
"ASV125",99.4207650356009,99.4207650356009,99.4207650356009,99.4207650356009,97.6807893678786,97.6807893678786,90.6367282281728
"ASV126",30.458454382183,NA,NA,NA,NA,NA,NA
"ASV127",84.5385079548649,84.5385079548649,84.5385079548649,84.5385079548649,84.5385079548649,84.5385079548649,84.5385079548649
"ASV128",57.1158132241003,NA,NA,NA,NA,NA,NA
"ASV129",80.7867791143807,80.7867791143807,79.8597916433424,79.8597916433424,79.1112097473828,79.1112097473828,NA
"ASV130",83.6492962041172,82.9516222950033,82.9516222950033,82.9516222950033,80.101124614518,80.101124614518,80.101124614518
"ASV131",98.990828832567,98.990828832567,98.990828832567,98.000042075709,98.000042075709,86.8514319997408,86.8514319997408
"ASV132",29.4190765120548,NA,NA,NA,NA,NA,NA
"ASV133",76.7894867494935,76.3371094198391,76.3371094198391,76.3371094198391,NA,NA,NA
"ASV134",100,93.523306652362,93.523306652362,93.523306652362,93.523306652362,93.523306652362,81.9535349190598
"ASV135",100,100,100,100,98.9674987139827,98.9674987139827,97.1076945835964
"ASV136",96.6748406187656,96.6748406187656,96.6748406187656,96.6748406187656,96.6748406187656,96.6748406187656,NA
"ASV137",100,100,100,100,100,100,95.2074376142478
"ASV138",87.2501322419409,87.2501322419409,87.2501322419409,85.4642071130506,74.014345235472,74.014345235472,74.014345235472
"ASV139",100,99.0056408213488,99.0056408213488,99.0056408213488,95.7547619153268,95.7547619153268,93.4075085438897
"ASV140",90.0119760929181,78.5907565537408,78.5907565537408,78.5907565537408,78.5907565537408,NA,NA
"ASV141",84.0452024133035,84.0452024133035,84.0452024133035,84.0452024133035,84.0452024133035,84.0452024133035,84.0452024133035
"ASV142",100,100,100,100,100,87.547126014817,83.581365017483
"ASV143",91.9391394044405,91.9391394044405,91.9391394044405,91.9391394044405,89.0736433346114,88.1779489584388,88.1779489584388
"ASV144",92.706048849547,92.706048849547,92.706048849547,92.706048849547,92.706048849547,92.706048849547,92.706048849547
"ASV145",36.2879202380264,NA,NA,NA,NA,NA,NA
"ASV146",59.8417879902605,NA,NA,NA,NA,NA,NA
"ASV147",94.6650400709109,92.6507500463188,78.0162831765573,78.0162831765573,78.0162831765573,NA,NA
"ASV148",30.3867360017621,NA,NA,NA,NA,NA,NA
"ASV149",86.9899883489687,86.9899883489687,86.9899883489687,83.1142460523031,70.7891532074335,70.7891532074335,70.7891532074335
"ASV150",30.613196134568,NA,NA,NA,NA,NA,NA
"ASV151",89.2213945802832,89.2213945802832,89.2213945802832,89.2213945802832,89.2213945802832,89.2213945802832,87.4371756015754
"ASV152",93.1373774642427,93.1373774642427,93.1373774642427,92.3365093701718,92.3365093701718,92.3365093701718,92.3365093701718
"ASV153",67.1421110281044,NA,NA,NA,NA,NA,NA
"ASV154",94.4436172287534,94.4436172287534,94.4436172287534,94.4436172287534,94.4436172287534,94.4436172287534,NA
"ASV155",95.0034351757502,95.0034351757502,95.0034351757502,95.0034351757502,95.0034351757502,95.0034351757502,74.7353207039257
"ASV156",86.270869821166,85.2017362767579,85.2017362767579,85.2017362767579,79.8936823177324,79.8936823177324,NA
"ASV157",100,100,100,100,100,96.7166618884462,92.90981125862
"ASV158",98.3103969208198,98.3103969208198,98.3103969208198,98.3103969208198,98.3103969208198,93.6962261946463,93.6962261946463
"ASV159",95.3219345606437,95.3219345606437,95.3219345606437,95.3219345606437,95.3219345606437,80.7171206383139,80.7171206383139
"ASV160",42.9209315798585,NA,NA,NA,NA,NA,NA
"ASV161",98.8668713620115,98.8668713620115,98.8668713620115,98.8668713620115,98.8668713620115,98.8668713620115,70.1000669432517
"ASV162",84.1277397025767,84.1277397025767,84.1277397025767,84.1277397025767,84.1277397025767,84.1277397025767,NA
"ASV163",90.6601614838303,89.6755739017245,89.6755739017245,89.6755739017245,89.6755739017245,88.2054809922502,88.2054809922502
"ASV164",79.4569571247003,76.4800351473794,75.0542213802253,75.0542213802253,75.0542213802253,NA,NA
"ASV165",100,100,100,100,99.1477161047835,78.5972341985277,78.5972341985277
"ASV166",100,100,100,100,100,98.9825334709645,98.9825334709645
"ASV167",90.2263901703797,90.2263901703797,90.2263901703797,90.2263901703797,88.3530839037104,84.5909647894532,84.5909647894532
"ASV168",100,100,100,100,100,100,99.0488324204775
"ASV169",98.1708407853329,98.1708407853329,98.1708407853329,98.1708407853329,98.1708407853329,97.1992267072454,97.1992267072454
"ASV170",49.1638396774452,NA,NA,NA,NA,NA,NA
"ASV171",99.5084164420904,99.5084164420904,99.5084164420904,99.5084164420904,99.5084164420904,99.5084164420904,99.5084164420904
"ASV172",53.9426144550958,NA,NA,NA,NA,NA,NA
"ASV173",85.405914265326,84.6936435552944,84.6936435552944,84.6936435552944,84.6936435552944,NA,NA
"ASV174",92.4565707936198,92.4565707936198,92.4565707936198,92.4565707936198,92.4565707936198,92.4565707936198,86.3576388253727
"ASV175",76.8318939988588,76.8318939988588,74.5543938281835,74.5543938281835,NA,NA,NA
"ASV176",62.3844107506159,NA,NA,NA,NA,NA,NA
"ASV177",100,100,100,100,100,100,91.9849086187692
"ASV178",100,100,100,100,100,89.3760688034539,82.1239316598112
"ASV179",91.9722254416789,91.9722254416789,91.9722254416789,91.9722254416789,91.9722254416789,NA,NA
"ASV180",86.7263857520462,86.7263857520462,86.7263857520462,86.7263857520462,86.7263857520462,85.8992490128309,74.2331335408063
"ASV181",100,100,100,100,100,100,100
"ASV182",100,100,100,100,100,88.7587913021876,88.7587913021876
"ASV183",97.5670278722861,97.5670278722861,97.5670278722861,97.5670278722861,97.5670278722861,97.5670278722861,95.2855322006057
"ASV184",96.9969964089427,96.9969964089427,96.9969964089427,96.9969964089427,96.9969964089427,96.9969964089427,96.9969964089427
"ASV185",30.3242912322575,NA,NA,NA,NA,NA,NA
